Ticker,Sector
SEE,paper & plastic packaging products & materials
SRE,multi-utilities
NOW,systems software
SHW,specialty chemicals
SPG,retail reits
SWKS,semiconductors
SJM,packaged foods & meats
SNA,industrial machinery & supplies & components
SEDG,semiconductor materials & equipment
SO,electric utilities
LUV,passenger airlines
SWK,industrial machinery & supplies & components
SBUX,restaurants
STT,asset management & custody banks
STLD,steel
STE,health care equipment
SYK,health care equipment
SYF,consumer finance
SNPS,application software
SYY,food distributors
TMUS,wireless telecommunication services
TROW,asset management & custody banks
TTWO,interactive home entertainment
TPR,"apparel, accessories & luxury goods"
TRGP,oil & gas storage & transportation
TGT,consumer staples merchandise retail
TEL,electronic manufacturing services
TDY,electronic equipment & instruments
TFX,health care equipment
TER,semiconductor materials & equipment
TSLA,automobile manufacturers
TXN,semiconductors
TXT,aerospace & defense
TMO,life sciences tools & services
TJX,apparel retail
TSCO,specialty stores
TT,building products
TDG,aerospace & defense
TRV,property & casualty insurance
TRMB,electronic equipment & instruments
TFC,regional banks
TYL,application software
TSN,packaged foods & meats
USB,diversified banks
UDR,multi-family residential reits
ULTA,specialty stores
UNP,rail transportation
UAL,passenger airlines
UPS,air freight & logistics
URI,trading companies & distributors
UNH,managed health care
UHS,health care facilities
VLO,oil & gas refining & marketing
VTR,health care reits
VLTO,environmental & facilities services
VRSN,internet services & infrastructure
VRSK,research & consulting services
VZ,integrated telecommunication services
VRTX,biotechnology
VFC,"apparel, accessories & luxury goods"
VTRS,pharmaceuticals
VICI,hotel & resort reits
V,transaction & payment processing services
VMC,construction materials
WRB,property & casualty insurance
WAB,construction machinery & heavy transportation equipment
WBA,drug retail
WMT,consumer staples merchandise retail
DIS,movies & entertainment
WBD,broadcasting
WM,environmental & facilities services
WAT,life sciences tools & services
WEC,electric utilities
WFC,diversified banks
WELL,health care reits
WST,health care supplies
WDC,"technology hardware, storage & peripherals"
WRK,paper & plastic packaging products & materials
WY,timber reits
WHR,household appliances
WMB,oil & gas storage & transportation
WTW,insurance brokers
GWW,industrial machinery & supplies & components
WYNN,casinos & gaming
XEL,multi-utilities
XYL,industrial machinery & supplies & components
YUM,restaurants
ZBRA,electronic equipment & instruments
ZBH,health care equipment
ZION,regional banks
ZTS,pharmaceuticals
